Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,"2,2;
;
;
",,4.91,4.91,0,0,0,0
aten::reshape,"2,1;
",,3.71,9.81,0,0,0,0
aten::view,"2,1;
",,6.1,6.1,0,0,0,0
aten::copy_,"2;
2;
",,8.9,16.46,0,1.84,0,0
acl_memcpy_device_to_host,,,7.56,7.56,1.84,1.84,0,0
Event::record,,,50.54,60.12,0,0.02,0,0
record_event,,,9.58,9.58,0.02,0.02,0,0
destroy_event,,,6.16,6.16,0,0,0,0
Event::synchronize,,,56.63,56.63,0,0,0,0
aten::select,"2,2;
;
",,8.21,12.96,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.75,4.75,0,0,0,0
aten::resolve_conj,2,,0.92,0.92,0,0,0,0
aten::resolve_neg,2,,0.61,0.61,0,0,0,0
destroy_event,,,9.8,9.8,0,0,0,0
serving.decode_step,,,226.73,861.38,0,11.44,0,0
Event::record,,,97.47,109.65,0,0.0,0,0
record_event,,,12.18,12.18,0.0,0.0,0,0
cache_compiler inference,,,111.64,242.82,0,0,0,0
TorchNpuGraphBase::Run,,,23.2,131.18,0,0,0,0
AssembleInputs,,,10.85,10.85,0,0,0,0
AssembleOutputs,,,7.0,7.0,0,0,0,0
ExecuteGraph,,,61.4,61.4,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.6,28.73,0,0,0,0
aten::empty,";
;
;
;
;
",,6.66,14.66,0,0,0,0
empty_tensor,,,8.0,8.0,0,0,0,0
aten::set_,"0;
;
;
;
",,6.47,6.47,0,0,0,0
aten::reshape,"2,1;
",,4.26,10.62,0,0,0,0
aten::view,"2,1;
",,6.36,6.36,0,0,0,0
Event::record,,,101.11,115.51,0,0.02,0,0
record_event,,,14.4,14.4,0.02,0.02,0,0
aten::view,"2;
",,7.27,7.27,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.09,48.04,0,2.0,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.7,17.93,0,0,0,0
empty_tensor,,,11.23,11.23,0,0,0,0
aten::fill_,"2,1;
",,14.7,25.02,0,2.0,0,0
aclnnInplaceFillScalar,,,10.32,10.32,2.0,2.0,0,0
aten::where,"2,1;
2,1;
2,1",,13.5,27.17,0,2.6,0,0
empty_tensor,,,6.76,6.76,0,0,0,0
aclnnSWhere,,,6.91,6.91,2.6,2.6,0,0
aten::add,"2;
;
",,14.56,28.65,0,3.0,0,0
empty_tensor,,,4.76,4.76,0,0,0,0
aten::item,,,2.09,3.47,0,0,0,0
aten::_local_scalar_dense,,,1.38,1.38,0,0,0,0
aclnnAdds,,,5.86,5.86,3.0,3.0,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.06,25.92,0,1.76,0,0
aten::empty_like,"2;
;
;
;
;
",,4.75,10.08,0,0,0,0
empty_tensor,,,5.33,5.33,0,0,0,0
aten::zero_,2,,6.45,11.78,0,1.76,0,0
aclnnInplaceZero,,,5.33,5.33,1.76,1.76,0,0
aten::where,"2;
2;
2",,8.99,19.0,0,2.06,0,0
