Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,1.48,1.48,0,0,0,0
aclnnAdds,,,5.7,5.7,3.08,3.08,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.03,26.78,0,1.8,0,0
aten::empty_like,"2;
;
;
;
;
",,5.09,9.7,0,0,0,0
empty_tensor,,,4.61,4.61,0,0,0,0
aten::zero_,2,,6.57,12.05,0,1.8,0,0
aclnnInplaceZero,,,5.48,5.48,1.8,1.8,0,0
aten::where,"2;
2;
2",,9.3,18.67,0,2.12,0,0
empty_tensor,,,4.33,4.33,0,0,0,0
aclnnSWhere,,,5.04,5.04,2.12,2.12,0,0
Event::record,,,54.69,67.02,0,0.02,0,0
record_event,,,12.33,12.33,0.02,0.02,0,0
Event::wait,,,39.3,49.2,0,437.52,0,0
wait_event,,,9.9,9.9,437.52,437.52,0,0
aten::select,"2,2;
;
",,8.46,14.28,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.82,5.82,0,0,0,0
aten::reshape,"2,1;
",,3.45,10.53,0,0,0,0
aten::view,"2,1;
",,7.08,7.08,0,0,0,0
aten::copy_,"2;
2;
",,8.79,15.85,0,1.9,0,0
acl_memcpy_device_to_host,,,7.06,7.06,1.9,1.9,0,0
Event::record,,,52.65,62.71,0,0.0,0,0
record_event,,,10.06,10.06,0.0,0.0,0,0
destroy_event,,,6.7,6.7,0,0,0,0
Event::synchronize,,,54.7,54.7,0,0,0,0
aten::select,"2,2;
;
",,7.95,13.15,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.2,5.2,0,0,0,0
aten::resolve_conj,2,,1.19,1.19,0,0,0,0
aten::resolve_neg,2,,0.71,0.71,0,0,0,0
destroy_event,,,9.47,9.47,0,0,0,0
serving.decode_step,,,226.86,855.26,0,11.700000000000001,0,0
Event::record,,,97.9,108.69,0,0.02,0,0
record_event,,,10.79,10.79,0.02,0.02,0,0
cache_compiler inference,,,108.57,237.83,0,0,0,0
TorchNpuGraphBase::Run,,,23.93,129.26,0,0,0,0
AssembleInputs,,,10.89,10.89,0,0,0,0
AssembleOutputs,,,6.59,6.59,0,0,0,0
ExecuteGraph,,,59.4,59.4,0,0,0,0
RefreshAtTensorFromGeTensor,,,6.91,28.45,0,0,0,0
aten::empty,";
;
;
;
;
",,6.68,15.34,0,0,0,0
empty_tensor,,,8.66,8.66,0,0,0,0
aten::set_,"0;
;
;
;
",,6.2,6.2,0,0,0,0
aten::reshape,"2,1;
",,4.22,10.08,0,0,0,0
aten::view,"2,1;
",,5.86,5.86,0,0,0,0
Event::record,,,103.05,117.0,0,0.02,0,0
record_event,,,13.95,13.95,0.02,0.02,0,0
aten::view,"2;
",,6.79,6.79,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.06,46.21,0,2.08,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.45,17.19,0,0,0,0
empty_tensor,,,10.74,10.74,0,0,0,0
aten::fill_,"2,1;
",,13.77,23.96,0,2.08,0,0
aclnnInplaceFillScalar,,,10.19,10.19,2.08,2.08,0,0
aten::where,"2,1;
2,1;
2,1",,13.77,26.84,0,2.74,0,0
empty_tensor,,,6.48,6.48,0,0,0,0
aclnnSWhere,,,6.59,6.59,2.74,2.74,0,0
aten::add,"2;
;
",,13.85,28.1,0,3.14,0,0
empty_tensor,,,4.02,4.02,0,0,0,0
aten::item,,,2.35,3.77,0,0,0,0
aten::_local_scalar_dense,,,1.42,1.42,0,0,0,0
aclnnAdds,,,6.46,6.46,3.14,3.14,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.44,27.62,0,1.76,0,0
aten::empty_like,"2;
;
;
;
;
",,5.1,9.77,0,0,0,0
empty_tensor,,,4.67,4.67,0,0,0,0
aten::zero_,2,,6.87,12.41,0,1.76,0,0
aclnnInplaceZero,,,5.54,5.54,1.76,1.76,0,0
aten::where,"2;
2;
2",,9.32,19.24,0,1.94,0,0
empty_tensor,,,4.78,4.78,0,0,0,0
aclnnSWhere,,,5.14,5.14,1.94,1.94,0,0
Event::record,,,55.38,68.42,0,0.02,0,0
record_event,,,13.04,13.04,0.02,0.02,0,0
Event::wait,,,39.48,48.25,0,443.66,0,0
wait_event,,,8.77,8.77,443.66,443.66,0,0
aten::select,"2,2;
;
",,8.95,13.98,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.03,5.03,0,0,0,0
aten::reshape,"2,1;
",,3.55,9.75,0,0,0,0
aten::view,"2,1;
",,6.2,6.2,0,0,0,0
aten::copy_,"2;
2;
",,8.74,15.96,0,1.78,0,0
acl_memcpy_device_to_host,,,7.22,7.22,1.78,1.78,0,0
Event::record,,,49.74,58.78,0,0.02,0,0
record_event,,,9.04,9.04,0.02,0.02,0,0
destroy_event,,,6.03,6.03,0,0,0,0
Event::synchronize,,,42.97,42.97,0,0,0,0
aten::select,"2,2;
;
",,7.7,12.0,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.3,4.3,0,0,0,0
aten::resolve_conj,2,,0.94,0.94,0,0,0,0
aten::resolve_neg,2,,0.67,0.67,0,0,0,0
destroy_event,,,9.6,9.6,0,0,0,0
serving.decode_step,,,226.91,865.03,0,11.68,0,0
Event::record,,,102.58,113.93,0,0.0,0,0
record_event,,,11.35,11.35,0.0,0.0,0,0
cache_compiler inference,,,111.1,242.38,0,0,0,0
TorchNpuGraphBase::Run,,,23.75,131.28,0,0,0,0
AssembleInputs,,,10.89,10.89,0,0,0,0
AssembleOutputs,,,7.61,7.61,0,0,0,0
ExecuteGraph,,,60.09,60.09,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.73,28.94,0,0,0,0
aten::empty,";
;
;
;
;
",,6.96,15.16,0,0,0,0
empty_tensor,,,8.2,8.2,0,0,0,0
aten::set_,"0;
;
;
;
",,6.05,6.05,0,0,0,0
